Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
S0442,3.3,2.1,5.6,0.9,2.6,3.78,Low
S0443,10.7,3.6,8.8,2.0,3.3,3.31,Medium
S0444,3.9,2.1,7.4,1.1,1.9,4.0,Low
S0445,10.7,1.3,8.4,5.9,3.2,3.61,Medium
S0446,10.6,3.4,5.3,3.0,2.2,3.47,Medium
S0447,3.9,2.9,7.7,1.6,1.7,4.0,Low
S0448,1.6,0.3,6.4,6.1,1.0,2.27,Low
S0449,6.3,1.4,6.2,5.3,2.2,3.75,Low
S0450,2.0,2.3,7.7,1.4,1.1,2.74,Low
S0451,4.7,4.5,10.5,0.8,2.3,3.4,Medium
S0452,7.3,4.5,9.7,3.5,1.2,2.62,Medium
S0453,7.7,1.5,7.3,2.5,2.0,3.59,Low
S0454,9.3,1.0,7.0,1.9,0.4,3.32,Medium
S0455,2.1,1.3,8.9,2.1,3.2,2.04,Low
S0456,5.9,2.4,8.2,2.1,1.2,4.0,Low
S0457,8.9,4.8,9.1,2.7,2.4,3.19,Medium
S0458,3.6,2.7,5.4,2.3,2.7,2.96,Low
S0459,3.6,0.8,4.5,6.3,1.6,3.38,Medium
S0460,8.2,1.8,7.9,4.7,2.0,3.49,Low
S0461,3.2,4.2,7.2,2.1,1.4,4.0,Medium
S0462,2.3,5.1,5.7,2.2,1.1,1.73,Medium
S0463,3.8,0.1,8.1,6.7,0.9,4.0,Low
S0464,8.3,2.1,6.1,2.3,2.1,3.55,Low
S0465,8.0,1.3,6.4,5.8,2.5,3.54,Low
S0466,6.5,0.8,7.2,4.3,0.8,3.48,Low
S0467,7.6,2.6,9.8,0.8,1.0,2.62,Medium
S0468,7.0,3.4,4.8,3.2,1.6,3.24,Medium
S0469,4.5,4.7,8.7,4.2,2.1,4.0,Low
S0470,6.8,3.3,8.9,2.1,2.5,3.98,Low
S0471,3.5,1.8,6.3,7.0,2.7,4.0,Low
S0472,5.8,4.8,7.0,2.5,0.8,4.0,Medium
S0473,7.7,3.3,6.5,0.6,2.6,3.08,Low
S0474,3.8,3.2,8.6,3.3,3.4,3.94,Low
S0475,2.3,2.3,8.0,5.4,0.8,2.57,Low
S0476,4.7,1.1,8.9,1.6,1.1,4.0,Low
S0477,4.1,4.1,7.8,4.9,1.0,4.0,Medium
S0478,8.2,4.4,3.6,4.0,0.5,2.58,High
S0479,5.7,1.6,6.1,2.4,1.9,4.0,Low
S0480,4.8,0.8,8.4,2.1,1.4,4.0,Low
S0481,6.7,1.8,4.3,2.5,3.2,3.62,Medium
S0482,6.3,1.3,6.7,4.5,0.6,3.84,Low
S0483,4.0,1.6,6.7,7.0,0.5,3.1,Low
S0484,10.4,1.0,6.6,4.5,2.1,3.12,Medium
S0485,4.9,1.8,6.6,2.1,0.9,3.18,Low
S0486,4.1,3.0,10.0,3.6,0.6,3.46,Low
S0487,2.6,4.9,6.1,1.2,1.8,2.95,Low
S0488,4.0,0.4,9.9,2.0,2.0,4.0,Low
S0489,6.9,2.8,6.2,2.1,1.8,3.94,Low
S0490,6.0,3.2,7.8,2.7,0.2,4.0,Medium
S0491,5.9,1.5,6.8,6.6,1.3,3.68,Low
S0492,6.6,5.2,4.8,0.4,1.4,3.13,High
S0493,2.7,3.4,9.3,2.8,1.0,3.0,Low
S0494,1.5,2.7,7.5,3.8,1.0,2.15,Low
S0495,7.0,0.9,5.5,5.6,2.2,3.59,Medium
S0496,3.9,0.8,6.8,4.4,1.8,3.54,Low
S0497,6.6,0.9,9.8,5.2,2.5,3.38,Low
S0498,6.2,3.4,8.1,3.2,0.5,4.0,Low
S0499,4.6,4.5,7.4,3.3,1.0,4.0,Medium
S0500,6.6,3.6,6.8,3.8,1.0,3.72,Low
S0501,6.9,2.1,6.8,3.9,3.1,3.66,Low
S0502,1.9,1.7,7.0,0.9,1.5,1.77,Low
S0503,9.5,1.0,8.3,2.7,2.0,3.59,Medium
S0504,3.3,0.8,5.4,4.0,2.8,3.65,Low
S0505,8.0,3.1,4.9,2.2,1.1,2.53,Medium
S0506,5.6,1.8,6.4,5.1,2.4,3.3,Low
S0507,4.2,4.5,9.8,2.3,1.2,4.0,Medium
S0508,8.7,1.0,6.5,3.4,1.6,3.1,Low
S0509,3.5,4.0,7.8,5.2,2.7,4.0,Low
S0510,6.1,1.2,7.8,1.7,2.1,4.0,Low
S0511,3.8,1.0,5.3,0.2,2.2,3.83,Medium
S0512,3.3,0.9,3.8,1.6,2.9,3.72,Medium
S0513,3.8,1.8,4.8,1.9,1.6,2.77,Medium
S0514,2.4,1.9,5.7,1.9,3.3,2.68,Low
S0515,6.2,2.5,6.6,2.8,1.7,4.0,Low
S0516,3.4,2.3,6.6,5.5,1.9,4.0,Low
S0517,5.6,1.0,7.4,1.4,1.2,4.0,Low
S0518,3.6,1.9,9.2,1.8,1.6,3.76,Low
S0519,4.9,0.4,8.4,1.1,1.5,4.0,Low
S0520,6.8,1.5,3.6,4.4,1.6,3.29,Medium
S0521,8.2,3.8,8.8,3.0,1.2,3.23,Low
S0522,3.5,4.0,9.1,2.9,0.6,4.0,Low
S0523,4.7,3.7,9.2,1.8,0.5,3.62,Low
S0524,5.6,5.1,4.5,3.9,0.5,2.98,High
S0525,4.6,3.7,6.7,7.6,1.7,3.48,Low
S0526,4.4,1.9,4.5,2.5,1.5,2.99,Medium
S0527,7.1,3.0,7.9,0.4,0.9,3.24,Medium
S0528,1.4,3.7,8.3,3.3,0.5,2.63,Low
S0529,7.5,2.6,8.4,4.5,2.5,3.26,Low
S0530,6.6,2.8,8.1,1.6,0.9,4.0,Low
S0531,8.9,3.4,9.3,4.6,1.8,3.34,Low
S0532,5.9,2.8,5.2,3.0,2.2,4.0,Low
S0533,4.0,1.3,6.2,2.0,0.9,3.96,Low
S0534,5.4,1.3,4.6,4.2,1.3,2.95,Medium
S0535,8.0,3.0,8.4,2.1,2.1,3.83,Low
S0536,6.3,1.7,5.9,1.7,2.1,3.98,Low
S0537,3.7,2.7,5.9,4.0,2.5,4.0,Low
S0538,3.5,0.9,7.9,2.5,1.4,4.0,Low
S0539,2.0,1.5,4.0,5.6,1.0,1.34,Medium
S0540,6.6,1.7,9.2,5.7,1.2,3.82,Medium
S0541,9.0,5.7,8.6,5.3,1.0,2.89,Medium
S0542,2.8,5.8,6.2,4.5,2.5,2.34,Low
S0543,8.5,5.7,5.8,0.8,1.3,3.46,High
S0544,5.8,1.7,7.7,1.9,0.2,4.0,Medium
S0545,7.4,2.8,8.2,0.8,2.6,3.92,Low
S0546,6.3,4.1,7.4,3.5,3.7,4.0,Low
S0547,7.4,2.1,7.9,2.6,1.0,4.0,Low
S0548,9.5,1.8,7.1,1.8,3.8,3.85,Medium
S0549,10.7,2.9,8.5,4.3,1.8,3.58,Medium
S0550,6.7,3.0,6.5,6.3,0.8,3.3,Low
S0551,5.4,3.1,7.9,3.9,1.1,4.0,Low
S0552,6.1,1.3,7.9,2.9,2.0,4.0,Low
S0553,8.2,1.2,3.8,4.7,1.8,2.55,Medium
S0554,7.8,5.0,7.1,3.0,1.3,3.95,Medium
S0555,3.3,2.6,6.0,6.1,1.8,3.28,Low
S0556,2.3,0.5,6.7,1.2,1.8,2.83,Low
S0557,8.8,4.2,7.7,1.8,2.7,3.75,Medium
S0558,7.2,1.6,8.5,7.6,0.3,3.36,Medium
S0559,9.0,2.8,10.1,2.9,2.6,3.25,Low
S0560,2.5,5.2,8.6,5.3,3.1,2.15,Medium
S0561,2.7,1.9,4.5,1.8,1.0,1.18,Medium
S0562,2.8,1.2,5.2,6.9,2.3,2.23,Medium
S0563,10.3,2.1,6.0,4.9,1.2,2.8,Medium
S0564,3.1,1.5,6.4,4.0,0.5,3.27,Low
S0565,3.6,3.7,5.2,2.4,2.7,3.42,Low
S0566,5.8,3.7,5.1,3.5,1.6,3.75,Low
S0567,3.2,2.8,6.0,3.0,0.6,3.13,Low
S0568,8.0,0.7,6.7,2.9,2.2,3.18,Low
S0569,5.9,3.0,8.3,5.4,1.1,4.0,Low
S0570,11.0,4.3,6.4,1.8,1.5,3.34,High
S0571,7.2,2.3,6.9,5.2,1.2,3.02,Medium
S0572,4.3,2.2,8.2,1.4,0.9,4.0,Low
S0573,9.9,1.3,7.3,3.5,1.5,3.23,Medium
S0574,5.7,1.9,7.7,1.5,1.7,4.0,Low
S0575,3.5,1.6,5.6,1.7,2.6,4.0,Low
S0576,10.4,2.6,5.1,2.5,2.4,3.24,Medium
S0577,4.5,0.9,7.2,5.3,2.4,4.0,Low
S0578,3.7,1.4,9.0,2.0,1.0,3.71,Low
S0579,1.1,4.1,8.4,3.8,2.3,2.26,Low
S0580,4.4,0.9,6.9,6.0,0.4,3.14,Low
S0581,4.1,1.4,5.8,5.9,1.5,4.0,Medium
S0582,3.3,2.3,6.7,3.6,3.9,3.74,Low
S0583,7.5,2.0,8.7,1.7,0.3,2.82,Low
S0584,5.4,2.8,9.3,3.1,1.6,3.47,Low
S0585,2.3,0.6,7.2,2.8,2.6,2.53,Low
S0586,2.3,3.3,4.9,3.7,1.1,1.41,Medium
S0587,3.4,1.9,8.5,2.6,2.3,4.0,Low
S0588,3.8,3.0,7.3,6.2,1.3,4.0,Low
S0589,2.5,0.4,8.6,3.2,2.4,2.09,Low
S0590,2.0,5.0,7.7,6.2,1.0,2.44,Medium
S0591,6.2,3.1,6.2,5.3,3.2,3.9,Low
S0592,4.0,1.6,9.9,0.4,2.2,3.96,Low
S0593,6.9,2.8,10.4,2.3,1.2,3.97,Low
S0594,3.9,1.8,8.7,6.2,0.9,3.26,Low
S0595,4.6,4.6,4.4,1.2,0.8,2.57,High
S0596,10.3,2.1,7.0,2.0,1.5,3.89,Medium
S0597,6.5,3.4,8.2,3.5,2.9,4.0,Low
S0598,2.4,0.2,5.6,4.0,1.3,2.51,Medium
S0599,4.7,4.2,9.2,5.9,1.1,3.47,Medium
S0600,3.5,1.3,6.3,2.8,2.6,4.0,Low
S0601,3.0,3.3,7.1,2.2,1.5,4.0,Low
S0602,4.9,1.2,4.9,3.3,2.9,2.51,Medium
S0603,4.4,3.3,7.7,6.2,2.5,4.0,Low
S0604,9.0,2.0,6.2,0.4,2.6,3.34,Low
S0605,7.8,1.0,7.3,2.9,0.7,3.54,Low
S0606,7.2,0.5,7.7,3.3,0.6,3.1,Low
S0607,3.4,2.6,6.1,6.3,2.5,3.78,Low
S0608,4.4,0.7,4.3,4.2,1.4,3.14,Medium
S0609,3.7,2.8,5.8,3.5,1.2,3.93,Medium
S0610,5.2,1.8,6.4,4.9,1.2,3.93,Low
S0611,3.6,0.9,6.9,3.0,2.6,3.83,Low
S0612,7.9,3.8,6.5,2.9,1.1,2.91,Low
S0613,9.6,1.0,9.5,4.1,1.6,3.09,Medium
S0614,4.8,1.2,7.7,6.8,1.7,4.0,Low
S0615,7.0,0.8,6.7,1.4,1.8,4.0,Low
S0616,2.6,1.8,7.2,2.6,2.6,3.15,Low
S0617,8.0,2.8,6.5,2.0,0.7,2.68,Low
S0618,6.7,3.0,4.5,2.6,0.9,2.36,High
S0619,3.3,3.8,4.2,2.7,0.8,2.95,Medium
S0620,3.8,2.3,8.1,6.6,0.9,4.0,Low
S0621,8.8,4.7,9.4,3.8,1.9,3.54,Medium
S0622,5.6,3.0,6.7,4.4,2.5,3.63,Low
S0623,3.2,3.9,7.2,5.3,1.4,4.0,Low
S0624,3.9,3.9,6.9,3.2,1.1,3.74,Low
S0625,5.9,1.7,4.1,2.1,0.2,3.35,High
S0626,4.4,3.0,8.5,6.4,1.3,4.0,Low
S0627,7.6,1.5,10.4,0.6,1.8,3.48,Low
S0628,3.0,4.7,5.4,3.7,0.9,3.83,Medium
S0629,4.2,2.5,6.7,1.6,0.8,4.0,Low
S0630,9.0,0.9,6.5,1.3,0.3,2.86,Low
S0631,6.5,2.7,5.3,1.9,0.3,3.59,Medium
S0632,8.6,4.6,6.7,0.9,0.4,2.65,Medium
S0633,5.9,2.0,4.0,3.5,0.2,2.5,High
S0634,2.2,2.7,6.6,6.9,1.7,2.6,Low
S0635,4.0,3.2,5.9,5.9,1.3,3.61,Medium
S0636,4.9,3.9,8.5,1.9,1.0,4.0,Low
S0637,8.0,4.6,4.7,2.9,1.2,2.7,High
S0638,2.3,2.3,6.8,2.3,1.3,2.27,Low
S0639,5.6,1.2,7.3,4.9,2.3,4.0,Low
S0640,4.0,1.8,6.6,4.1,0.5,3.45,Low
S0641,2.1,1.9,7.9,1.8,1.9,3.16,Low
S0642,9.0,1.6,5.7,2.7,1.0,3.2,Medium
S0643,6.6,3.8,7.8,5.1,1.3,4.0,Low
S0644,4.5,3.0,5.9,1.1,3.7,3.79,Low
S0645,3.3,5.4,10.1,4.9,2.0,4.0,Medium
S0646,4.1,2.2,7.5,2.7,1.4,4.0,Low
S0647,4.3,2.6,8.8,1.8,3.1,4.0,Low
S0648,5.8,3.6,3.7,5.0,0.4,2.86,Medium
S0649,8.9,5.5,6.1,1.8,2.3,3.48,Medium
S0650,2.8,1.1,10.2,4.0,2.6,2.18,Low
S0651,4.3,3.0,7.4,3.6,2.0,3.78,Low
S0652,4.0,3.5,5.7,4.2,1.0,4.0,Medium
S0653,6.3,3.4,5.6,1.0,0.7,4.0,Medium
S0654,2.2,3.3,6.3,3.0,3.1,2.6,Low
S0655,4.3,2.2,3.7,1.1,1.0,3.22,Medium
S0656,4.9,2.5,5.4,2.2,2.0,3.92,Low
S0657,10.3,0.7,9.1,3.5,1.7,2.87,Medium
S0658,2.7,2.7,6.3,6.0,1.3,2.3,Low
S0659,3.2,3.2,6.1,3.2,2.1,3.83,Low
S0660,6.7,3.1,9.7,2.2,0.1,3.75,Medium
S0661,4.0,1.4,7.7,3.8,1.8,4.0,Low
S0662,5.8,1.8,5.1,1.2,2.6,3.63,Low
S0663,9.3,2.9,4.8,2.6,2.2,2.39,High
S0664,1.0,3.2,6.4,2.0,0.2,1.78,Medium
S0665,5.6,4.0,9.8,3.4,1.6,3.83,Low
S0666,4.6,2.7,6.5,2.0,0.6,3.45,Low
S0667,4.2,0.9,5.4,7.2,1.4,4.0,Medium
S0668,11.4,2.6,8.6,2.3,1.1,3.33,Medium
S0669,4.8,3.0,7.8,2.3,0.7,3.92,Low
S0670,5.9,3.1,7.9,4.6,2.8,4.0,Low
S0671,5.4,3.3,7.5,1.7,0.3,4.0,Low
S0672,6.2,4.0,5.5,1.4,3.3,3.48,Low
S0673,2.9,2.2,7.4,3.3,0.6,2.85,Low
S0674,3.8,2.9,8.6,0.8,1.5,4.0,Low
S0675,6.8,1.5,6.1,3.7,2.9,3.9,Low
S0676,7.1,1.9,7.6,2.9,0.9,3.89,Low
S0677,6.9,2.5,6.4,5.9,0.3,3.39,Low
S0678,7.5,3.2,6.3,4.1,1.3,3.05,Low
S0679,7.4,2.2,6.6,6.2,1.0,3.17,Medium
S0680,10.4,1.9,4.4,2.4,1.6,2.21,High
S0681,3.3,3.0,10.7,2.9,1.2,3.72,Low
S0682,8.8,2.0,6.5,4.0,1.4,3.03,Low
S0683,6.4,0.7,8.6,6.3,1.9,4.0,Low
S0684,5.9,2.0,6.3,1.4,1.3,3.84,Low
S0685,3.3,3.3,5.6,1.0,1.7,4.0,Low
S0686,5.9,1.8,8.5,3.3,0.6,4.0,Low
S0687,5.8,4.4,6.6,2.2,0.8,3.63,Medium
S0688,6.0,0.9,9.6,4.6,1.8,3.46,Low
S0689,8.1,0.8,6.9,3.8,2.6,2.89,Low
S0690,9.7,1.1,9.0,6.8,0.8,3.07,Medium
S0691,7.1,0.6,6.6,3.2,1.8,3.16,Low
S0692,5.2,3.7,9.7,0.6,3.5,3.94,Low
S0693,2.7,3.8,6.0,1.5,1.4,2.12,Low
S0694,2.3,2.7,9.2,2.6,0.9,2.66,Low
S0695,5.0,0.7,8.6,5.1,1.8,4.0,Low
S0696,5.7,3.8,7.6,4.8,1.8,4.0,Low
S0697,4.8,4.9,7.2,3.6,0.9,4.0,Medium
S0698,3.5,0.7,7.4,4.6,1.6,4.0,Low
S0699,3.7,3.0,4.6,2.8,0.8,2.74,Medium
S0700,4.7,0.7,6.6,3.2,1.5,3.64,Low
S0701,4.6,3.9,5.2,3.1,0.5,3.54,Medium
S0702,5.8,4.2,7.2,6.6,0.4,3.78,Medium
S0703,2.8,0.6,5.4,3.3,1.9,2.15,Low
S0704,2.6,1.2,5.0,1.4,1.6,2.75,Low
S0705,3.8,1.8,10.4,4.1,3.2,3.7,Low
S0706,5.7,0.8,3.4,4.0,1.9,2.7,Medium
S0707,4.8,2.3,6.6,0.6,1.2,3.83,Low
S0708,7.1,1.7,6.5,1.9,0.6,3.15,Low
S0709,3.4,3.7,7.8,3.3,1.5,4.0,Low
S0710,7.6,5.6,5.8,5.5,2.6,2.71,High
S0711,3.7,2.0,6.6,7.0,0.9,3.32,Low
S0712,7.1,2.0,7.3,5.2,2.5,3.92,Low
S0713,8.6,0.7,7.9,1.5,1.4,3.14,Low
S0714,5.5,5.7,5.1,4.1,1.3,4.0,Medium
S0715,3.1,1.2,9.7,5.6,2.9,4.0,Low
S0716,5.3,2.0,6.4,3.6,1.7,3.45,Low
S0717,3.3,2.2,7.2,3.5,0.9,4.0,Low
S0718,5.8,1.5,7.9,3.4,2.4,4.0,Low
S0719,7.2,2.8,7.0,1.5,1.0,4.0,Low
S0720,5.5,1.6,3.5,3.1,1.1,2.56,Medium
S0721,7.2,0.5,7.4,6.3,0.8,3.03,Medium
S0722,6.3,2.5,6.6,3.2,2.9,3.78,Low
S0723,3.5,0.5,8.9,3.5,2.9,4.0,Low
S0724,4.9,3.4,9.3,3.5,0.9,3.62,Low
S0725,4.0,1.3,5.8,2.2,1.7,3.53,Low
S0726,6.2,0.9,4.7,1.7,1.6,3.76,Medium
S0727,3.7,1.6,6.6,5.0,0.2,3.9,Medium
S0728,7.8,4.7,3.8,1.6,2.8,2.85,High
S0729,5.1,2.6,7.7,4.1,3.1,4.0,Low
S0730,2.3,1.4,9.2,2.0,0.9,2.09,Low
S0731,3.1,4.0,7.0,4.0,1.0,4.0,Low
S0732,4.2,2.0,5.6,6.9,1.9,4.0,Medium
S0733,9.6,1.7,8.4,4.6,2.1,3.57,Medium
S0734,3.1,3.0,8.1,3.5,0.9,4.0,Low
S0735,5.4,1.7,6.7,3.9,2.3,3.65,Low
S0736,4.0,1.3,8.4,5.9,1.3,3.87,Low
S0737,7.3,4.3,8.8,1.7,3.3,2.85,Medium
S0738,2.4,2.3,4.9,2.0,1.1,1.35,Medium
S0739,7.9,4.2,6.1,5.4,2.7,2.93,Medium
S0740,6.8,4.8,7.8,2.3,1.6,4.0,Low
S0741,6.4,2.4,5.0,2.3,2.5,3.96,Low
S0742,6.5,3.4,8.5,6.4,1.1,4.0,Low
S0743,8.5,1.1,7.9,4.5,2.0,3.77,Low
S0744,3.4,0.7,8.0,3.0,2.7,4.0,Low
S0745,4.6,1.2,8.7,3.3,0.9,3.53,Low
S0746,6.1,2.2,8.7,5.1,2.1,4.0,Low
S0747,2.9,3.9,7.8,4.2,1.2,2.91,Low
S0748,2.9,2.0,9.1,0.9,3.3,2.48,Low
S0749,6.7,2.8,5.9,2.0,3.2,4.0,Low
S0750,4.7,1.1,3.6,3.3,3.5,2.78,Medium
S0751,4.5,1.8,6.3,3.2,1.4,3.8,Low
S0752,5.4,1.1,10.3,2.0,0.5,4.0,Low
S0753,6.6,2.7,6.6,2.7,2.4,4.0,Low
S0754,6.4,2.0,6.8,2.0,2.3,3.85,Low
S0755,5.5,1.7,7.4,7.5,1.4,4.0,Low
S0756,2.3,1.4,6.7,1.9,0.0,2.39,Medium
S0757,9.3,3.9,8.1,1.6,0.7,3.54,Medium
S0758,9.5,2.1,5.0,3.2,1.2,3.01,High
S0759,4.6,2.8,8.0,1.3,0.4,4.0,Low
S0760,7.8,1.8,6.8,4.1,1.6,2.96,Low
S0761,8.5,4.1,3.6,4.7,1.5,2.3,High
S0762,10.9,3.4,5.8,3.3,3.7,3.19,Medium
S0763,8.5,0.9,7.9,2.4,0.2,3.07,Medium
S0764,8.0,1.8,8.7,0.1,1.1,2.94,Medium
S0765,3.8,1.4,4.5,1.7,1.7,3.0,Medium
S0766,4.6,4.2,9.3,3.1,1.2,3.3,Medium
S0767,2.9,4.9,4.4,2.2,1.1,1.42,High
S0768,7.6,1.0,7.6,1.4,0.5,3.35,Low
S0769,9.2,1.3,8.6,3.3,0.6,2.74,Medium
S0770,8.4,0.3,7.0,4.7,3.1,3.67,Low
S0771,9.2,3.8,9.1,1.8,1.1,3.04,Medium
S0772,4.7,2.5,5.3,4.2,0.8,3.06,Medium
S0773,4.2,2.3,8.4,4.5,1.9,4.0,Low
S0774,2.7,1.9,6.6,0.8,1.0,1.94,Low
S0775,10.0,4.9,6.4,0.8,0.8,2.97,High
S0776,3.2,3.5,4.9,7.1,1.3,2.96,Medium
S0777,7.6,1.8,7.5,1.8,0.8,3.58,Low
S0778,7.9,0.8,6.3,2.3,1.9,3.56,Low
S0779,4.5,1.2,7.4,5.0,1.3,4.0,Low
S0780,3.8,1.7,7.6,3.6,2.1,4.0,Low
S0781,4.5,3.8,5.6,3.0,2.5,3.9,Low
S0782,6.7,0.5,7.9,2.3,0.5,4.0,Low
S0783,6.1,1.5,6.5,1.1,0.8,3.54,Low
S0784,9.2,0.2,6.9,1.4,1.1,3.22,Medium
S0785,9.4,1.2,10.0,1.8,2.2,3.6,Medium
S0786,5.7,2.5,5.5,1.6,3.0,4.0,Low
S0787,4.3,1.9,8.2,2.4,3.2,4.0,Low
S0788,8.8,0.7,5.9,2.9,1.0,3.75,Medium
S0789,7.3,4.5,6.7,2.4,3.3,3.13,Medium
S0790,4.4,4.4,7.3,4.6,2.5,3.43,Low
S0791,4.4,2.1,8.8,2.5,2.4,4.0,Low
S0792,7.2,3.7,8.8,2.6,0.5,3.17,Low
S0793,4.7,3.0,6.8,4.5,1.2,3.46,Low
S0794,7.3,2.5,5.6,2.2,2.3,3.45,Medium
S0795,5.3,1.4,10.0,4.3,3.3,3.53,Low
S0796,9.0,2.4,7.9,2.0,1.4,3.02,Low
S0797,3.0,1.4,3.2,0.8,3.5,3.23,Medium
S0798,8.2,2.5,5.2,4.4,1.8,2.74,Medium
S0799,7.1,3.5,10.1,3.5,1.2,2.93,Medium
S0800,9.0,1.0,6.2,5.0,1.8,3.16,Low
S0801,4.7,2.2,8.8,2.4,2.7,4.0,Low
S0802,8.3,1.3,6.7,1.6,2.1,3.26,Low
S0803,5.6,2.9,5.5,1.8,0.4,3.89,Medium
S0804,8.5,3.0,6.7,6.5,2.2,2.54,Low
S0805,9.5,2.4,5.9,0.9,2.2,2.99,Medium
S0806,5.6,2.6,7.4,1.6,1.3,4.0,Low
S0807,6.2,5.1,8.0,6.1,2.3,3.92,Medium
S0808,6.6,2.8,7.4,3.1,1.6,4.0,Low
S0809,4.3,2.4,5.5,4.9,0.9,3.46,Medium
S0810,6.5,2.1,6.0,3.4,1.2,3.55,Low
S0811,9.6,4.6,7.0,2.3,2.2,3.79,Medium
S0812,4.4,4.5,3.6,3.4,2.2,2.84,Medium
S0813,5.3,0.9,10.1,3.2,1.8,3.77,Low
S0814,4.9,0.8,4.8,5.2,1.0,2.52,Medium
S0815,3.5,2.3,8.3,1.0,1.7,4.0,Low
S0816,3.9,2.0,4.1,2.9,1.7,3.14,Medium
S0817,5.9,1.8,6.2,1.3,1.2,4.0,Low
S0818,10.3,5.1,8.9,3.6,2.1,3.0,Medium
S0819,4.1,2.8,6.8,3.0,2.3,3.71,Low
S0820,9.4,0.7,6.9,6.0,1.8,2.75,Medium
S0821,5.7,1.5,6.3,5.3,1.7,3.52,Low
S0822,1.7,5.0,6.5,3.6,0.6,1.51,Medium
S0823,6.7,4.7,7.3,1.4,1.8,4.0,Low
S0824,8.7,2.9,9.2,3.7,0.7,3.23,Medium
S0825,4.2,1.3,9.3,4.6,2.0,3.53,Low
S0826,7.4,2.2,5.7,3.7,0.4,2.63,Medium
S0827,4.3,2.2,5.2,7.1,0.9,3.41,Medium
S0828,7.5,2.1,7.3,0.6,0.4,3.19,Low
S0829,5.0,3.8,9.1,1.2,1.6,3.94,Low
S0830,8.1,1.1,9.6,4.5,3.2,3.33,Low
S0831,6.7,1.9,9.6,2.1,1.2,4.0,Low
S0832,9.5,1.4,8.5,4.5,0.5,3.53,Medium
S0833,4.7,1.6,6.1,7.1,1.9,4.0,Low
S0834,4.9,4.1,5.4,6.4,0.9,3.35,High
S0835,4.3,3.4,6.5,3.7,1.4,3.55,Low
S0836,2.4,1.7,6.9,1.6,1.2,2.72,Low
S0837,4.7,0.7,7.3,5.6,0.8,4.0,Low
S0838,4.9,3.2,6.6,3.1,0.2,3.8,Medium
S0839,6.8,3.0,4.1,2.5,3.5,3.22,Medium
S0840,9.2,3.2,7.3,4.9,2.7,2.79,Medium
S0841,5.1,2.2,6.5,6.7,2.1,3.57,Low
S0842,5.7,2.0,9.0,1.8,2.6,3.99,Low
S0843,5.8,0.7,10.1,3.2,1.1,4.0,Low
S0844,4.2,1.3,5.0,2.2,2.4,3.97,Low
S0845,5.2,1.4,5.3,2.3,3.2,3.6,Low
S0846,8.9,2.2,8.0,7.1,0.4,3.28,Medium
S0847,2.8,3.3,6.0,1.7,0.4,2.17,Low
S0848,6.1,2.1,3.9,4.8,0.2,2.37,High
S0849,7.4,4.3,6.7,3.3,1.5,3.37,Medium
S0850,8.9,1.8,7.5,6.1,3.3,3.52,Low
S0851,5.4,2.2,6.0,6.6,0.8,3.01,Low
S0852,4.0,2.0,10.8,0.9,1.8,3.98,Low
S0853,2.7,1.2,6.8,3.2,1.0,2.13,Low
S0854,4.2,5.0,9.7,2.3,1.7,3.92,Medium
S0855,9.2,0.2,8.5,6.4,0.6,3.2,Medium
S0856,3.9,2.1,7.9,4.4,3.8,4.0,Low
S0857,4.1,2.5,7.1,2.7,0.8,4.0,Low
S0858,3.7,2.5,7.9,3.2,3.7,4.0,Low
S0859,6.2,1.9,8.3,1.7,1.3,4.0,Low
S0860,7.6,2.3,8.4,3.5,1.2,3.03,Low
S0861,7.9,1.5,5.7,3.1,1.0,2.23,High
S0862,10.3,2.6,8.9,1.5,1.7,3.48,Medium
S0863,8.6,2.6,8.0,2.5,0.6,2.82,Low
S0864,8.6,1.5,10.0,6.6,1.0,2.83,Medium
S0865,4.4,4.3,10.0,2.8,1.1,4.0,Medium
S0866,4.0,3.3,4.3,0.9,1.3,3.08,Medium
S0867,4.5,1.7,7.0,2.3,0.9,3.8,Low
S0868,5.9,5.3,5.8,4.1,2.2,3.16,Medium
S0869,6.1,0.9,7.8,1.0,1.8,4.0,Low
S0870,8.3,0.5,8.8,2.9,0.9,3.2,Low
S0871,3.1,4.9,4.5,1.8,1.2,3.44,High
S0872,3.0,1.6,5.8,1.8,1.3,4.0,Medium
S0873,6.9,1.4,6.4,2.6,3.5,3.66,Low
S0874,5.4,3.6,8.9,5.3,1.2,3.53,Low
S0875,6.8,1.7,4.4,4.2,0.2,2.18,High
S0876,6.8,3.5,6.1,5.0,1.1,3.53,Low
S0877,5.0,3.3,7.9,7.2,0.9,4.0,Low
S0878,9.3,1.2,8.2,3.4,1.0,4.0,Medium
S0879,5.2,1.8,7.3,5.7,1.7,4.0,Low
S0880,2.3,1.4,7.0,2.2,0.9,3.38,Low
S0881,5.4,1.7,5.9,2.9,0.7,3.52,Medium
S0882,7.6,3.7,8.3,1.4,1.9,3.9,Low
S0883,8.2,2.6,7.6,2.9,1.6,3.83,Low
S0884,2.6,2.1,6.1,3.3,0.7,1.9,Low
S0885,6.8,3.6,5.3,1.3,0.8,3.72,Medium
